Kategori,Tweet,Sentiment,problem
jak,Hari ini ke Bandara dengan cara yang slow tapi murah dengan bus @PT_Transjakarta Hanya Rp7000 - (Rp5000 - kalo pake kartu JakLingko) sudah bisa sampai bandara dari semua penjuru Jakarta cuman dengan waktu tempuh yang lebih lama Dari Monas bisa langsung naik Koridor 3 ke https://t.co/M4RM3HLTZu,Netral,"['Harga', 'Kecepatan Layanan']"
jak,eh klo naik jaklingko tuh bisa pake emoney biasa gak sih?,Negatif,['Masalah Pembayaran']
jak,demi allah kenapa jendela jaklingko tuh susah banget sih dibuka?!?!! &gt;:O,Negatif,"['Kondisi', 'Navigasi']"
jak,Duluan siapa yak antara tj s21 sm jaklingko 102 yg sampe duluan buat jemput gueh,Negatif,"['Keterlambatan', 'Kemacetan']"
jak,kalau bawa kan bisa naik jaklingko apa tije gitu ,Negatif,['Akses/Rute']
jak,tolong dong jaklingko 18 ke arah kalibata diperbanyak! Saya hari ini di Mall Kokas nunggunya nyampe 1 JAM 30 MENIT. Sekalinya lewat selalu penuh padahal arah sebaliknya lewat mulu #jaklingko @PT_Transjakarta @DKIJakarta,Negatif,"['Keterlambatan', 'Kondisi']"
jak,nunggu jaklingko penuh mulu taii,Negatif,"['Keterlambatan', 'Kondisi', 'Kemacetan']"
jak,gws bgt gw ketiduran di jaklingko dan missed my stop ,Negatif,['Navigasi']
jak,@Priska080 Hai Kak. Tarif integrasi bisa dinikmati oleh pengguna Transportasi antarmoda (TJ MRT dan LRTJ). Untuk informasi lebih lanjut silakan menghubugi Customer Care JakLingko: (Whatsapp) : 0812-6000-1440 (Phone) : 021-29223034 Email) : customercare@jaklingkoindonesia.co.id.,Negatif,['Masalah Pembayaran']
jak,Aplikasi jaklingko eror kah? Atau hp ku aja ya @PT_Transjakarta https://t.co/jcnvzRsh6l,Negatif,['Masalah Pembayaran']
jak,@nikra_tama Banget Ini dari tadi siang ngantuk bgt Ini lg di jaklingko ku tahan biar ga tidur,Negatif,['Emosi/Frustrasi']
jak,Jakarta better dibanding kota lain di Indoensia Jaklingko harus ada di banyak kota. Tapi Jalan Tol antar kota menurutku sangat tidak menyelesaikan problem harusnya banyakan jalur kereta api. Lebih merasuk ke masyarakat ,Netral,[]
jak,mana jaklingko nyaaaa,Negatif,['Keterlambatan']
jak,@hyunnebunnie ayo kita sewa jaklingko buat ke paris,Negatif,[]
jak,Seandainya ke Paris bisa naek jaklingko gw beli dah ni tiket 20 biji,Negatif,[]
jak,Kan sekalian nge-skip jaklingko ini aDANYA LAGI TUH LUMAYAN LAMA DAMN.,Negatif,['Keterlambatan']
jak,jir keknya salah naik jaklingko,Negatif,"['Navigasi', 'Akses/Rute']"
jak,naik jaklingko sore-sore gini panas banget jadi pusing mau muntah,Negatif,"['Kondisi', 'Emosi/Frustrasi']"
jak,perlu di uji knp abang jaklingko sensian https://t.co/U3GuSv6ZMA,Negatif,['Pelayanan']
jak,Yang nyelak antrean jaklingko pasti 02 voters. Kesel banget,Negatif,['Emosi/Frustrasi']
jak,eh gw mati duluan nungguib jaklingko kontol ini,Negatif,['Keterlambatan']
jak,Pulang jam 6 tapi fak dapet jaklingko sampe jam segini? Santai aja ,Negatif,['Kemacetan']
jak,Skrg kurang tertarik liat konten makeup2 di studio yg poles sana sini jadi wow. Aku mau konten makeup yang kreatornya review makeup yg tetap aduhai meski abis naik Jaklingko jibaku di Manggarai ngantri seblak di gang jajanan belakang GI dan kena angin ngebut ojol hehe.,Negatif,[]
jak,Tadi kebetulan dapat jaklingko tapi sempet gak dibolehin bapaknya buat duduk di depan setelah aku bilang lg hamil baru dibolehin walaupun sempat dapat tatapan sinis juga. Memang perutku belum ngembang pak tapi ada debay usia 9 minggu disitu. ,Negatif,"['Pelayanan', 'Ancaman', 'Prioritas/Kebutuhan Khusus']"
jak,Unik sekali hari ini. Sekarang pertama kali dapet jaklingko yg model pintunya nutup. Kirain mobil yg ini gak lewat rute gw https://t.co/hkzNQjuuke,Negatif,"['Kondisi', 'Akses/Rute', 'Emosi/Frustrasi']"
jak,ga worth it taugt drtd naik gojek dah sampe gue dirumah skrg sejam menunggu jaklingko ngihaaaaa,Negatif,"['Keterlambatan', 'Kemacetan']"
jak,udh mau magrib tp jaklingko gk dtg dtg https://t.co/xUxRom5b2E,Negatif,['Keterlambatan']
jak,abis bereksperimen wkwkwk biasanya naik jaklingko turun di st jakot tapi gara2 ada galian fucek jadi bisa 40menitan padahal biasanya 15menit dan skrg nyoba turun di bus stop terus jalan kaki ke st angke 16 menit capek,Negatif,"['Kemacetan', 'Akses/Rute', 'Emosi/Frustrasi']"
jak,hari senin balik masih sore dan dpt jaklingko sangat amat muach dah https://t.co/8O8lkcoUNZ,Negatif,[]
jak,@worksfess kostku deket sama transportasi umum tj dan jaklingko jadi tiap kerja aku ga pernah bayar ongkos. selalu naik jakilingkoo,Negatif,['Masalah Pembayaran']
jak,@PT_Transjakarta min dari pasar senen mau ke tanah abang bisa naik jaklingko?,Negatif,['Akses/Rute']
jak,@PT_Transjakarta min naik jaklingko dari transmart cilandak arah Moch kaffi 1. Ada gak rutenya?,Negatif,['Akses/Rute']
jak,@PT_Transjakarta hai admin naik jaklingko 88 dari halte pademangan ke UBM Ancol turun di bus stop apa namanya? #transjakarta #naiktije,Negatif,['Akses/Rute']
jak,akhirnya dapet kartu jaklingko tapcash bni di halte thamrin kartu yang lama ilang https://t.co/o56AgVv3Nh,Negatif,['Ancaman']
jak,tambah mellow guah krn satu jaklingko sm anak slamer yg msh smp,Negatif,['Emosi/Frustrasi']
jak,@PT_Transjakarta tiket di app jaklingko bisa buat tj non-brt?,Negatif,[]
jak,pernah ngebut-ngebutan di jaklingko arah manggarai LITERALLY NTU SUPIR NGENDARAIN MOBILNYA JUST LIKE TATSUMI DRIVE THE CAR. turun dari jaklingko gue dan anak piyik gue langsung mual mau muntah ,Negatif,['Pelayanan']
jak,Pulang sekolah sembari menunggu jaklingko Kakak bocil: Buku aku lagi diret sama bu guru Ibu: apa? Aduh ibu ngga ngerti Kakak bocil: diret diret ibu Ibu: ? tiba2 dia nangis kesel krn ibu ga ngerti2 sambil nangis dia eja kata nya Di R A T E ibu ngertinya di ponten,Negatif,"['Keterlambatan', 'Navigasi', 'Emosi/Frustrasi']"
jak,Pengamat Soroti Sopir Jaklingko Tak Terima Ditegur dan Ngamuk: Minimal Diberi Sanksi https://t.co/7vlpOvVU8k,Negatif,['Pelayanan']
jak,@haloteje @kresbung Ntar anaknya Jaklingko Simanjuntak?,Negatif,[]
jak,Viral Sopir Jaklingko Ngamuk di Jalan Pengamat Sebut Blue Bird Jadi Rujukan Etika Profesional https://t.co/DNfq2jkfTY,Negatif,['Pelayanan']
jak,Pertama kali naik jaklingko HEHEHEHE..................... https://t.co/4OlluoUxeX,Negatif,['Emosi/Frustrasi']
jak,@lioarchives WKWKWK mostly emang jauh beda waktunya antara gojek sm transum. apalagi jaklingko bisa muter jauhh,Negatif,['Akses/Rute']
jak,@Iowyd tapi 2 jam di jaklingko bisa bikin pusing sih sa,Negatif,['Emosi/Frustrasi']
jak,Viral Sopir Mikrotrans Jaklingko Ngamuk di Jalan Pengamat: Perlunya Pembinaan Minimal Sebulan Sekali https://t.co/nPfymMgRKA,Negatif,['Pelayanan']
jak,hidup emang kayak roda kemaren makan overpriced pasta harga 175k terus hari ini naik jaklingko kemana-mana,Negatif,"['Masalah Pembayaran', 'Emosi/Frustrasi']"
jak,gue sering bgt nebeng sm temen (cowok / cewek) soalnya biar ngirit. and i'll let my man ditebengin temennya juga soalnya i get what it feels pulang malem2 harus nunggu gojek / jaklingko kalo ada yg searah knp enggak? asal gak tiap hari berturut2 aja sih,Negatif,['Keterlambatan']
jak,Keajaiban dunia supir jaklingko 52 baeekk dan ramah ,Netral,['Kualitas Layanan']
jak,Ternyata aku naik lrt hr ini gada dokumentasinya hr ini aku naik transum 3 modaaa: LRT TJ Jaklingko ih aku hepiii,Netral,[]
jak,tema hari ini: salah naik jaklingko,Negatif,"['Navigasi', 'Akses/Rute']"
jak,Sebenarnya nih supir #Jaklingko KMJ-1147 di spnjng jl. Raya Keb. Lama s/d. Per4an lmp merah Permata Hijau mau jd pbalap kejar setoran ataukah melayani penumpang sih!!? Ugal2an nyupir buru2 kek cuma dia sendiri yg nyetir! Dia tutup jln yg mau belok kiri pdhal tdk abis stop. 15:46 https://t.co/QIVrjrnjvd,Negatif,['Pelayanan']
jak,@ekasulvijayanti Selamat sore Kak. Untuk transaksi perjalanan Commuter Line dapat menggunakan Kartu Multi Trip (KMT) Kartu Bank (E-Money Flazz Brizzi TapCash JakLingko) atau beli tiket di aplikasi C-Access (pembayaran Gopay) Access By KAI menu Commuter Line (Kaipay) Gojek pada menu,Negatif,['Masalah Pembayaran']
jak,@xleeseo @Riawoo @rowwsie @kunnoyushi @Sunagho @_ Ada jaklingko ૮ ˶ᵔ ᵕ ᵔ˶ ა @Sunagho https://t.co/vsHGD8g4On,Negatif,[]
jak,hidup emang kayak roda kemaren makan overpriced pasta terus hari ini naik jaklingko kemana-mana,Negatif,['Emosi/Frustrasi']
jak,@eeokmin Kalo buru buru. Pake gojek. Kalo nyantai banget ikut jaklingko aja hahaha,Negatif,[]
jak,UBAH SMUA RUTE JAKLINGKO‼️ JGN ADA YG LWT DKT PSR. BIAR GAK ADA IBU2 YG BAWA2 IKAN/UDANG/DAGING MSK ARMADANYA‼️ @PT_Transjakarta @JaklingkoApps,Negatif,['Akses/Rute']
jak,@Iowyd bener sih. kalo lg capek + gaada duit gw tim #tidur_di_jaklingko,Negatif,"['Masalah Pembayaran', 'Emosi/Frustrasi']"
